place1,top,place2_Y,dis,place2_Z,triplet,question,answer,transition
Greets Green and Lyng,within,West Midlands Euro Region,distant,Knowle,"Greets Green and Lyng is within West Midlands Euro Region, distant Knowle",Is Greets Green and Lyng within West Midlands Euro Region and distant to Knowle?,Yes,no_change
Greets Green and Lyng,within,West Midlands Euro Region,distant,Knowle,"Greets Green and Lyng is within West Midlands Euro Region, distant Knowle",Does Greets Green and Lyng borders West Midlands Euro Region and distant to Knowle?,No,replace_top_token
Greets Green and Lyng,within,West Midlands Euro Region,far,Saddleworth North,"Greets Green and Lyng is within West Midlands Euro Region, far Saddleworth North",Is Greets Green and Lyng within West Midlands Euro Region and far to Saddleworth North?,Yes,no_change
Greets Green and Lyng,within,West Midlands Euro Region,far,Saddleworth North,"Greets Green and Lyng is within West Midlands Euro Region, far Saddleworth North",Is Greets Green and Lyng within West Midlands Euro Region and near to Saddleworth North?,No,replace_dis_token
Greets Green and Lyng,borders,Wednesbury South,near,Wednesbury South,"Greets Green and Lyng is borders Wednesbury South, near Wednesbury South",Does Greets Green and Lyng borders Wednesbury South and near to Wednesbury South?,Yes,no_change
Greets Green and Lyng,borders,Wednesbury South,near,Wednesbury South,"Greets Green and Lyng is borders Wednesbury South, near Wednesbury South",Does Wednesbury South borders Greets Green and Lyng and near to Wednesbury South?,No,flip_place
Greets Green and Lyng,borders,Wednesbury South,close,Paddock,"Greets Green and Lyng is borders Wednesbury South, close Paddock",Does Greets Green and Lyng borders Wednesbury South and close to Paddock?,Yes,no_change
Greets Green and Lyng,borders,Wednesbury South,close,Paddock,"Greets Green and Lyng is borders Wednesbury South, close Paddock",Does Wednesbury South borders Greets Green and Lyng and close to Paddock?,No,flip_place
Edenthorpe,within,Metropolitan Borough of Doncaster,distant,Harewood,"Edenthorpe is within Metropolitan Borough of Doncaster, distant Harewood",Is Edenthorpe within Metropolitan Borough of Doncaster and distant to Harewood?,Yes,no_change
Edenthorpe,within,Metropolitan Borough of Doncaster,distant,Harewood,"Edenthorpe is within Metropolitan Borough of Doncaster, distant Harewood",Is Edenthorpe within Metropolitan Borough of Doncaster and close to Harewood?,No,replace_dis_token
