place1,dis,place2_Y,dir,place2_Z,triplet,question,options,answer,option_sources
St. Michaels,near,Halewood,north,St. Alphege,"St. Michaels is near Halewood, north St. Alphege",Which city is near to Halewood and also north from St. Alphege?,"A. St. Michaels
B. Thorne & Moorends
C. Broughton",A. St. Michaels,"correct,random,partial"
St. Michaels,close,Wigan West,west,Wakefield West,"St. Michaels is close Wigan West, west Wakefield West",Which city is close to Wigan West and also west from Wakefield West?,"A. Fulwood
B. St. Michaels
C. Keighley East",B. St. Michaels,"random,correct,partial"
St. Michaels,distant,Stretford,south,Whiteleas,"St. Michaels is distant Stretford, south Whiteleas",Which city is distant to Stretford and also south from Whiteleas?,"A. St. Michaels
B. Wollaston and Stourbridge Town
C. Great Bridge",A. St. Michaels,"correct,random,partial"
St. Michaels,far,Tyburn,east,Seacombe,"St. Michaels is far Tyburn, east Seacombe",Which city is far to Tyburn and also east from Seacombe?,"A. Crookes & Crosspool
B. St. Michaels
C. Newton",B. St. Michaels,"random,correct,partial"
Ouseburn,near,Wallsend,north,Bradford,"Ouseburn is near Wallsend, north Bradford",Which city is near to Wallsend and also north from Bradford?,"A. Weaste and Seedley
B. Ouseburn
C. St. James'",B. Ouseburn,"random,correct,partial"
Ouseburn,close,Washington Central,west,Biddick and All Saints,"Ouseburn is close Washington Central, west Biddick and All Saints",Which city is close to Washington Central and also west from Biddick and All Saints?,"A. Longbridge
B. Ouseburn
C. Camperdown",B. Ouseburn,"random,correct,partial"
Ouseburn,far,West Ecclesfield,east,Chopwell and Rowlands Gill,"Ouseburn is far West Ecclesfield, east Chopwell and Rowlands Gill",Which city is far to West Ecclesfield and also east from Chopwell and Rowlands Gill?,"A. Bowdon
B. Ouseburn
C. Bournville",B. Ouseburn,"random,correct,partial"
Weoley,near,Finstall,south,Bushbury South and Low Hill,"Weoley is near Finstall, south Bushbury South and Low Hill",Which city is near to Finstall and also south from Bushbury South and Low Hill?,"A. Weoley
B. Kersal
C. Netherton Woodside and St. Andrews",A. Weoley,"correct,random,partial"
Weoley,close,Smith's Wood,west,Radford,"Weoley is close Smith's Wood, west Radford",Which city is close to Smith's Wood and also west from Radford?,"A. Weoley
B. Gleadless Valley
C. Woodlands",A. Weoley,"correct,random,partial"
Weoley,distant,Sherbourne Warwickshire,north,Kings Norton,"Weoley is distant Sherbourne Warwickshire, north Kings Norton",Which city is distant to Sherbourne Warwickshire and also north from Kings Norton?,"A. Swinton South
B. Weoley
C. Burmantofts and Richmond Hill",B. Weoley,"partial,correct,random"
Weoley,far,Denby Dale,east,Wollaston and Stourbridge Town,"Weoley is far Denby Dale, east Wollaston and Stourbridge Town",Which city is far to Denby Dale and also east from Wollaston and Stourbridge Town?,"A. Weoley
B. Belle Vale
C. Wetherby",A. Weoley,"correct,partial,random"
Denby Dale,near,Penistone,east,Northenden,"Denby Dale is near Penistone, east Northenden",Which city is near to Penistone and also east from Northenden?,"A. Cressington
B. Denby Dale
C. Morley South",B. Denby Dale,"random,correct,partial"
Denby Dale,close,Orgreave South Yorkshire,west,Swinton,"Denby Dale is close Orgreave South Yorkshire, west Swinton",Which city is close to Orgreave South Yorkshire and also west from Swinton?,"A. Royton North
B. Denby Dale
C. Bromborough",B. Denby Dale,"random,correct,partial"
Denby Dale,distant,Wales South Yorkshire,north,Erdington,"Denby Dale is distant Wales South Yorkshire, north Erdington",Which city is distant to Wales South Yorkshire and also north from Erdington?,"A. Denby Dale
B. Greenhead
C. Baguley",A. Denby Dale,"correct,random,partial"
Denby Dale,far,Meriden West Midlands,south,Whitley Bay,"Denby Dale is far Meriden West Midlands, south Whitley Bay",Which city is far to Meriden West Midlands and also south from Whitley Bay?,"A. Farnworth
B. Denby Dale
C. Batley East",B. Denby Dale,"random,correct,partial"
Eccles,near,Ordsall,west,Birley,"Eccles is near Ordsall, west Birley",Which city is near to Ordsall and also west from Birley?,"A. Rainhill
B. Eccles
C. Stannington",B. Eccles,"partial,correct,random"
Eccles,close,Longsight,south,Battle Hill,"Eccles is close Longsight, south Battle Hill",Which city is close to Longsight and also south from Battle Hill?,"A. Derby
B. Blythe
C. Eccles",C. Eccles,"partial,random,correct"
Eccles,distant,Tong,east,Clatterbridge,"Eccles is distant Tong, east Clatterbridge",Which city is distant to Tong and also east from Clatterbridge?,"A. St. Michaels
B. Beighton
C. Eccles",C. Eccles,"random,partial,correct"
Eccles,far,Merry Hill,north,Shirley East,"Eccles is far Merry Hill, north Shirley East",Which city is far to Merry Hill and also north from Shirley East?,"A. Milkstone and Deeplish
B. Eccles
C. Bingley Rural",B. Eccles,"random,correct,partial"
