place1,dir,place2_Y,top,place2_Z,triplet,question,answer,transition
Hale Central,west,Horbury and South Ossett,within,North West Euro Region,"Hale Central is west Horbury and South Ossett, within North West Euro Region",Is Hale Central west of Horbury and South Ossett and within North West Euro Region?,Yes,no_change
Hale Central,west,Horbury and South Ossett,within,North West Euro Region,"Hale Central is west Horbury and South Ossett, within North West Euro Region",Is North West Euro Region west of Horbury and South Ossett and within Hale Central?,No,flip_place_z
Hale Central,south,Adel and Wharfedale,borders,Altrincham,"Hale Central is south Adel and Wharfedale, borders Altrincham",Is Hale Central south of Adel and Wharfedale and borders Altrincham?,Yes,no_change
Hale Central,south,Adel and Wharfedale,borders,Altrincham,"Hale Central is south Adel and Wharfedale, borders Altrincham",Is Altrincham south of Adel and Wharfedale and borders Hale Central?,No,flip_place_z
Ouseburn,north,Marple South,within,Newcastle upon Tyne,"Ouseburn is north Marple South, within Newcastle upon Tyne",Is Ouseburn north of Marple South and within Newcastle upon Tyne?,Yes,no_change
Ouseburn,north,Marple South,within,Newcastle upon Tyne,"Ouseburn is north Marple South, within Newcastle upon Tyne",Is Ouseburn south of Marple South and within Newcastle upon Tyne?,No,replace_dir_token
Ouseburn,south,Weetslade,borders,South Jesmond,"Ouseburn is south Weetslade, borders South Jesmond",Is Ouseburn south of Weetslade and borders South Jesmond?,Yes,no_change
Ouseburn,south,Weetslade,borders,South Jesmond,"Ouseburn is south Weetslade, borders South Jesmond",Is Ouseburn south of Weetslade and within South Jesmond?,No,replace_top_token
Denby Dale,east,Cheadle and Gatley,within,Kirklees,"Denby Dale is east Cheadle and Gatley, within Kirklees",Is Denby Dale east of Cheadle and Gatley and within Kirklees?,Yes,no_change
Denby Dale,east,Cheadle and Gatley,within,Kirklees,"Denby Dale is east Cheadle and Gatley, within Kirklees",Is Kirklees east of Cheadle and Gatley and within Denby Dale?,No,flip_place_z
Denby Dale,north,Pleck,borders,Wakefield Rural,"Denby Dale is north Pleck, borders Wakefield Rural",Is Denby Dale north of Pleck and borders Wakefield Rural?,Yes,no_change
Denby Dale,north,Pleck,borders,Wakefield Rural,"Denby Dale is north Pleck, borders Wakefield Rural",Is Pleck north of Denby Dale and borders Wakefield Rural?,No,flip_place_y
Silverwood,east,Colne Valley,within,Metropolitan Borough of Rotherham,"Silverwood is east Colne Valley, within Metropolitan Borough of Rotherham",Is Silverwood east of Colne Valley and within Metropolitan Borough of Rotherham?,Yes,no_change
Silverwood,east,Colne Valley,within,Metropolitan Borough of Rotherham,"Silverwood is east Colne Valley, within Metropolitan Borough of Rotherham",Is Silverwood east of Colne Valley and borders Metropolitan Borough of Rotherham?,No,replace_top_token
Silverwood,north,Handsworth Wood,borders,Valley,"Silverwood is north Handsworth Wood, borders Valley",Is Silverwood north of Handsworth Wood and borders Valley?,Yes,no_change
Silverwood,north,Handsworth Wood,borders,Valley,"Silverwood is north Handsworth Wood, borders Valley",Is Silverwood south of Handsworth Wood and borders Valley?,No,replace_dir_token
Norden,west,Moortown,within,Metropolitan Borough of Rochdale,"Norden is west Moortown, within Metropolitan Borough of Rochdale",Is Norden west of Moortown and within Metropolitan Borough of Rochdale?,Yes,no_change
