place1,dir,place2_Y,top,place2_Z,triplet,question,options,answer,option_sources
Hale Central,west,Horbury and South Ossett,within,North West Euro Region,"Hale Central is west Horbury and South Ossett, within North West Euro Region",Which city lies west to Horbury and South Ossett and within North West Euro Region?,"A. Finningley
B. Hale Central
C. Woodhouse Park",B. Hale Central,"random,correct,partial"
Hale Central,south,Adel and Wharfedale,borders,Altrincham,"Hale Central is south Adel and Wharfedale, borders Altrincham",Which city lies south to Adel and Wharfedale and borders Altrincham?,"A. Hale Central
B. West Heywood
C. Hodge Hill",A. Hale Central,"correct,random,partial"
Ouseburn,north,Marple South,within,Newcastle upon Tyne,"Ouseburn is north Marple South, within Newcastle upon Tyne",Which city lies north to Marple South and within Newcastle upon Tyne?,"A. Ouseburn
B. Worsley
C. Denton South",A. Ouseburn,"correct,random,partial"
Ouseburn,south,Weetslade,borders,South Jesmond,"Ouseburn is south Weetslade, borders South Jesmond",Which city lies south to Weetslade and borders South Jesmond?,"A. East Ecclesfield
B. Radcliffe East
C. Ouseburn",C. Ouseburn,"partial,random,correct"
Denby Dale,east,Cheadle and Gatley,within,Kirklees,"Denby Dale is east Cheadle and Gatley, within Kirklees",Which city lies east to Cheadle and Gatley and within Kirklees?,"A. Denby Dale
B. Dinnington St. John's
C. St. Gabriels",A. Denby Dale,"correct,partial,random"
Denby Dale,north,Pleck,borders,Wakefield Rural,"Denby Dale is north Pleck, borders Wakefield Rural",Which city lies north to Pleck and borders Wakefield Rural?,"A. Barnes
B. Denby Dale
C. Lindley",B. Denby Dale,"partial,correct,random"
Silverwood,east,Colne Valley,within,Metropolitan Borough of Rotherham,"Silverwood is east Colne Valley, within Metropolitan Borough of Rotherham",Which city lies east to Colne Valley and within Metropolitan Borough of Rotherham?,"A. Silverwood
B. Denby Dale
C. Werneth",A. Silverwood,"correct,partial,random"
Silverwood,north,Handsworth Wood,borders,Valley,"Silverwood is north Handsworth Wood, borders Valley",Which city lies north to Handsworth Wood and borders Valley?,"A. Crookes & Crosspool
B. Dukinfield Stalybridge
C. Silverwood",C. Silverwood,"partial,random,correct"
Norden,west,Moortown,within,Metropolitan Borough of Rochdale,"Norden is west Moortown, within Metropolitan Borough of Rochdale",Which city lies west to Moortown and within Metropolitan Borough of Rochdale?,"A. Norden
B. North Heywood
C. Wallsend",A. Norden,"correct,partial,random"
Norden,north,Old Warley,borders,East,"Norden is north Old Warley, borders East",Which city lies north to Old Warley and borders East?,"A. Coseley East
B. Norden
C. Swinton North",B. Norden,"random,correct,partial"
Lemington,south,Woolsington,within,Newcastle upon Tyne,"Lemington is south Woolsington, within Newcastle upon Tyne",Which city lies south to Woolsington and within Newcastle upon Tyne?,"A. Speke-Garston
B. Lemington
C. Ossett",B. Lemington,"random,correct,partial"
Lemington,north,Stepping Hill,borders,Benwell and Scotswood,"Lemington is north Stepping Hill, borders Benwell and Scotswood",Which city lies north to Stepping Hill and borders Benwell and Scotswood?,"A. Metropolitan Borough of Dudley
B. Lemington
C. Benwell and Scotswood",B. Lemington,"random,correct,partial"
Old Swan,west,Atherton,within,Liverpool,"Old Swan is west Atherton, within Liverpool",Which city lies west to Atherton and within Liverpool?,"A. Riverside
B. Old Swan
C. Rother Vale",B. Old Swan,"partial,correct,random"
Old Swan,south,North Jesmond,borders,Picton Cheshire,"Old Swan is south North Jesmond, borders Picton Cheshire",Which city lies south to North Jesmond and borders Picton Cheshire?,"A. Horwich
B. Blundellsands
C. Old Swan",C. Old Swan,"partial,random,correct"
Milkstone and Deeplish,east,Stockbridge,within,Metropolitan Borough of Rochdale,"Milkstone and Deeplish is east Stockbridge, within Metropolitan Borough of Rochdale",Which city lies east to Stockbridge and within Metropolitan Borough of Rochdale?,"A. Milkstone and Deeplish
B. Fulwood
C. Hale Barns",A. Milkstone and Deeplish,"correct,partial,random"
