place1,relation,place2,question,answer,transition
Airedale and Ferry Fryston,east,Ancoats and Clayton,Is Airedale and Ferry Fryston east of Ancoats and Clayton?,Yes,no_change
Airedale and Ferry Fryston,east,Ancoats and Clayton,Is Airedale and Ferry Fryston west of Ancoats and Clayton?,No,replace_dir_token
Davyhulme East,east,Page Moss,Is Davyhulme East east of Page Moss?,Yes,no_change
Davyhulme East,east,Page Moss,Is Page Moss east of Davyhulme East?,No,flip_place
Dodworth,east,Stockbridge,Is Dodworth east of Stockbridge?,Yes,no_change
Dodworth,east,Stockbridge,Is Stockbridge east of Dodworth?,No,flip_place
Earlestown,east,Everton,Is Earlestown east of Everton?,Yes,no_change
Earlestown,east,Everton,Is Everton east of Earlestown?,No,flip_place
Heckmondwike,east,Warley,Is Heckmondwike east of Warley?,Yes,no_change
Heckmondwike,east,Warley,Is Heckmondwike west of Warley?,No,replace_dir_token
Idle and Thackley,east,Atherton,Is Idle and Thackley east of Atherton?,Yes,no_change
Idle and Thackley,east,Atherton,Is Idle and Thackley west of Atherton?,No,replace_dir_token
Cheetham,east,Leasowe and Moreton East,Is Cheetham east of Leasowe and Moreton East?,Yes,no_change
Cheetham,east,Leasowe and Moreton East,Is Cheetham west of Leasowe and Moreton East?,No,replace_dir_token
Castleford Central and Glasshoughton,east,Moss Bank,Is Castleford Central and Glasshoughton east of Moss Bank?,Yes,no_change
Castleford Central and Glasshoughton,east,Moss Bank,Is Moss Bank east of Castleford Central and Glasshoughton?,No,flip_place
Newsome,east,Allerton and Hunts Cross,Is Newsome east of Allerton and Hunts Cross?,Yes,no_change
Newsome,east,Allerton and Hunts Cross,Is Allerton and Hunts Cross east of Newsome?,No,flip_place
Dewsbury South,east,Ancoats and Clayton,Is Dewsbury South east of Ancoats and Clayton?,Yes,no_change
Dewsbury South,east,Ancoats and Clayton,Is Ancoats and Clayton east of Dewsbury South?,No,flip_place
Ardsley and Robin Hood,east,Riverside,Is Ardsley and Robin Hood east of Riverside?,Yes,no_change
Ardsley and Robin Hood,east,Riverside,Is Riverside east of Ardsley and Robin Hood?,No,flip_place
Horbury and South Ossett,east,Ardwick,Is Horbury and South Ossett east of Ardwick?,Yes,no_change
Horbury and South Ossett,east,Ardwick,Is Horbury and South Ossett west of Ardwick?,No,replace_dir_token
Withington,east,Birkdale,Is Withington east of Birkdale?,Yes,no_change
Withington,east,Birkdale,Is Birkdale east of Withington?,No,flip_place
Longford,east,Shard End,Is Longford east of Shard End?,Yes,no_change
Longford,east,Shard End,Is Shard End east of Longford?,No,flip_place
Finningley,east,St. Mary's,Is Finningley east of St. Mary's?,Yes,no_change
Finningley,east,St. Mary's,Is Finningley west of St. Mary's?,No,replace_dir_token
Rastrick,east,Higher Blackley,Is Rastrick east of Higher Blackley?,Yes,no_change
Rastrick,east,Higher Blackley,Is Rastrick west of Higher Blackley?,No,replace_dir_token
Wakefield East,east,Denton West,Is Wakefield East east of Denton West?,Yes,no_change
Wakefield East,east,Denton West,Is Denton West east of Wakefield East?,No,flip_place
Hoyland Milton,east,Dodworth,Is Hoyland Milton east of Dodworth?,Yes,no_change
Hoyland Milton,east,Dodworth,Is Hoyland Milton west of Dodworth?,No,replace_dir_token
Harper Green,east,Allerton and Hunts Cross,Is Harper Green east of Allerton and Hunts Cross?,Yes,no_change
Harper Green,east,Allerton and Hunts Cross,Is Harper Green west of Allerton and Hunts Cross?,No,replace_dir_token
Central,east,Ashton,Is Central east of Ashton?,Yes,no_change
Central,east,Ashton,Is Ashton east of Central?,No,flip_place
Golcar,east,Chorlton,Is Golcar east of Chorlton?,Yes,no_change
Golcar,east,Chorlton,Is Golcar west of Chorlton?,No,replace_dir_token
Atherleigh,east,Ravenmeols,Is Atherleigh east of Ravenmeols?,Yes,no_change
Atherleigh,east,Ravenmeols,Is Atherleigh west of Ravenmeols?,No,replace_dir_token
Kirkburton,east,Longford,Is Kirkburton east of Longford?,Yes,no_change
Kirkburton,east,Longford,Is Longford east of Kirkburton?,No,flip_place
Gorse Hill,east,Prescot South,Is Gorse Hill east of Prescot South?,Yes,no_change
Gorse Hill,east,Prescot South,Is Prescot South east of Gorse Hill?,No,flip_place
Irlam,east,Hindley Green,Is Irlam east of Hindley Green?,Yes,no_change
Irlam,east,Hindley Green,Is Irlam west of Hindley Green?,No,replace_dir_token
Stanley and Outwood East,east,Waterhead,Is Stanley and Outwood East east of Waterhead?,Yes,no_change
Stanley and Outwood East,east,Waterhead,Is Waterhead east of Stanley and Outwood East?,No,flip_place
Ecclesall,east,Oxton,Is Ecclesall east of Oxton?,Yes,no_change
Ecclesall,east,Oxton,Is Oxton east of Ecclesall?,No,flip_place
Golcar,east,West Park,Is Golcar east of West Park?,Yes,no_change
Golcar,east,West Park,Is West Park east of Golcar?,No,flip_place
Monk Bretton,east,Warbreck,Is Monk Bretton east of Warbreck?,Yes,no_change
Monk Bretton,east,Warbreck,Is Monk Bretton west of Warbreck?,No,replace_dir_token
Fulwell,east,Whickham North,Is Fulwell east of Whickham North?,Yes,no_change
Fulwell,east,Whickham North,Is Fulwell west of Whickham North?,No,replace_dir_token
Almondbury,east,Cressington,Is Almondbury east of Cressington?,Yes,no_change
Almondbury,east,Cressington,Is Almondbury west of Cressington?,No,replace_dir_token
Woodhouse,east,Blundellsands,Is Woodhouse east of Blundellsands?,Yes,no_change
Woodhouse,east,Blundellsands,Is Woodhouse west of Blundellsands?,No,replace_dir_token
Beacon and Bents,east,Primrose,Is Beacon and Bents east of Primrose?,Yes,no_change
Beacon and Bents,east,Primrose,Is Beacon and Bents west of Primrose?,No,replace_dir_token
Little Horton,east,Upton,Is Little Horton east of Upton?,Yes,no_change
Little Horton,east,Upton,Is Little Horton west of Upton?,No,replace_dir_token
St. Michaels,east,Old Swan,Is St. Michaels east of Old Swan?,Yes,no_change
St. Michaels,east,Old Swan,Is Old Swan east of St. Michaels?,No,flip_place
Edenthorpe,east,St. Michaels,Is Edenthorpe east of St. Michaels?,Yes,no_change
Edenthorpe,east,St. Michaels,Is Edenthorpe west of St. Michaels?,No,replace_dir_token
Roman Ridge,east,Irwell Riverside,Is Roman Ridge east of Irwell Riverside?,Yes,no_change
Roman Ridge,east,Irwell Riverside,Is Roman Ridge west of Irwell Riverside?,No,replace_dir_token
Chirton,east,Saltwell,Is Chirton east of Saltwell?,Yes,no_change
Chirton,east,Saltwell,Is Chirton west of Saltwell?,No,replace_dir_token
Ardwick,east,Sudell,Is Ardwick east of Sudell?,Yes,no_change
Ardwick,east,Sudell,Is Ardwick west of Sudell?,No,replace_dir_token
City,east,Bromborough,Is City east of Bromborough?,Yes,no_change
City,east,Bromborough,Is City west of Bromborough?,No,replace_dir_token
Dinnington St. John's,east,Norden,Is Dinnington St. John's east of Norden?,Yes,no_change
Dinnington St. John's,east,Norden,Is Dinnington St. John's west of Norden?,No,replace_dir_token
Kingstone,east,Meols,Is Kingstone east of Meols?,Yes,no_change
Kingstone,east,Meols,Is Meols east of Kingstone?,No,flip_place
Audenshaw,east,Moss Side,Is Audenshaw east of Moss Side?,Yes,no_change
Audenshaw,east,Moss Side,Is Moss Side east of Audenshaw?,No,flip_place
Town,east,Atherton,Is Town east of Atherton?,Yes,no_change
Town,east,Atherton,Is Atherton east of Town?,No,flip_place
South Elmsall and South Kirkby,east,Westhoughton North and Chew Moor,Is South Elmsall and South Kirkby east of Westhoughton North and Chew Moor?,Yes,no_change
South Elmsall and South Kirkby,east,Westhoughton North and Chew Moor,Is Westhoughton North and Chew Moor east of South Elmsall and South Kirkby?,No,flip_place
Knotty Ash,east,Heswall,Is Knotty Ash east of Heswall?,Yes,no_change
Knotty Ash,east,Heswall,Is Heswall east of Knotty Ash?,No,flip_place
Bramhall North,east,Astley Mosley Common,Is Bramhall North east of Astley Mosley Common?,Yes,no_change
Bramhall North,east,Astley Mosley Common,Is Astley Mosley Common east of Bramhall North?,No,flip_place
Finningley,east,Clubmoor,Is Finningley east of Clubmoor?,Yes,no_change
Finningley,east,Clubmoor,Is Clubmoor east of Finningley?,No,flip_place
North Heywood,east,Sudell,Is North Heywood east of Sudell?,Yes,no_change
North Heywood,east,Sudell,Is North Heywood west of Sudell?,No,replace_dir_token
Hebburn South,east,Byker,Is Hebburn South east of Byker?,Yes,no_change
Hebburn South,east,Byker,Is Byker east of Hebburn South?,No,flip_place
Soho and Victoria,east,Blackheath,Is Soho and Victoria east of Blackheath?,Yes,no_change
Soho and Victoria,east,Blackheath,Is Blackheath east of Soho and Victoria?,No,flip_place
Sprotbrough and Cusworth,east,Holme Valley,Is Sprotbrough and Cusworth east of Holme Valley?,Yes,no_change
Sprotbrough and Cusworth,east,Holme Valley,Is Holme Valley east of Sprotbrough and Cusworth?,No,flip_place
Sprotbrough and Cusworth,east,Dukinfield,Is Sprotbrough and Cusworth east of Dukinfield?,Yes,no_change
Sprotbrough and Cusworth,east,Dukinfield,Is Dukinfield east of Sprotbrough and Cusworth?,No,flip_place
Stocksbridge & Upper Don,east,Manor,Is Stocksbridge & Upper Don east of Manor?,Yes,no_change
Stocksbridge & Upper Don,east,Manor,Is Stocksbridge & Upper Don west of Manor?,No,replace_dir_token
Hatfield,east,City and Hunslet,Is Hatfield east of City and Hunslet?,Yes,no_change
Hatfield,east,City and Hunslet,Is Hatfield west of City and Hunslet?,No,replace_dir_token
Boston Castle,east,Anfield,Is Boston Castle east of Anfield?,Yes,no_change
Boston Castle,east,Anfield,Is Boston Castle west of Anfield?,No,replace_dir_token
Silverwood,east,Ashton Waterloo,Is Silverwood east of Ashton Waterloo?,Yes,no_change
Silverwood,east,Ashton Waterloo,Is Ashton Waterloo east of Silverwood?,No,flip_place
Worsbrough,east,Sale Moor,Is Worsbrough east of Sale Moor?,Yes,no_change
Worsbrough,east,Sale Moor,Is Worsbrough west of Sale Moor?,No,replace_dir_token
Springfield,east,Wollaston and Stourbridge Town,Is Springfield east of Wollaston and Stourbridge Town?,Yes,no_change
Springfield,east,Wollaston and Stourbridge Town,Is Wollaston and Stourbridge Town east of Springfield?,No,flip_place
Tong,east,Northwood,Is Tong east of Northwood?,Yes,no_change
Tong,east,Northwood,Is Northwood east of Tong?,No,flip_place
Northowram and Shelf,east,Woolton,Is Northowram and Shelf east of Woolton?,Yes,no_change
Northowram and Shelf,east,Woolton,Is Northowram and Shelf west of Woolton?,No,replace_dir_token
Killingworth,east,Longbenton,Is Killingworth east of Longbenton?,Yes,no_change
Killingworth,east,Longbenton,Is Killingworth west of Longbenton?,No,replace_dir_token
Manningham,east,Healey,Is Manningham east of Healey?,Yes,no_change
Manningham,east,Healey,Is Manningham west of Healey?,No,replace_dir_token
Radford,east,Coseley East,Is Radford east of Coseley East?,Yes,no_change
Radford,east,Coseley East,Is Radford west of Coseley East?,No,replace_dir_token
Horsforth,east,Milnrow and Newhey,Is Horsforth east of Milnrow and Newhey?,Yes,no_change
Horsforth,east,Milnrow and Newhey,Is Horsforth west of Milnrow and Newhey?,No,replace_dir_token
Windhill and Wrose,east,Everton,Is Windhill and Wrose east of Everton?,Yes,no_change
Windhill and Wrose,east,Everton,Is Windhill and Wrose west of Everton?,No,replace_dir_token
Airedale and Ferry Fryston,east,Alexandra,Is Airedale and Ferry Fryston east of Alexandra?,Yes,no_change
Airedale and Ferry Fryston,east,Alexandra,Is Alexandra east of Airedale and Ferry Fryston?,No,flip_place
Wakefield West,east,Pilkington Park,Is Wakefield West east of Pilkington Park?,Yes,no_change
Wakefield West,east,Pilkington Park,Is Pilkington Park east of Wakefield West?,No,flip_place
Old Town,east,Shaw,Is Old Town east of Shaw?,Yes,no_change
Old Town,east,Shaw,Is Shaw east of Old Town?,No,flip_place
Stanley and Outwood East,east,East Middleton,Is Stanley and Outwood East east of East Middleton?,Yes,no_change
Stanley and Outwood East,east,East Middleton,Is East Middleton east of Stanley and Outwood East?,No,flip_place
Tyldesley,east,Duke's,Is Tyldesley east of Duke's?,Yes,no_change
Tyldesley,east,Duke's,Is Duke's east of Tyldesley?,No,flip_place
Denton North East,east,Pensby and Thingwall,Is Denton North East east of Pensby and Thingwall?,Yes,no_change
Denton North East,east,Pensby and Thingwall,Is Denton North East west of Pensby and Thingwall?,No,replace_dir_token
Belle Vale,east,Upton,Is Belle Vale east of Upton?,Yes,no_change
Belle Vale,east,Upton,Is Belle Vale west of Upton?,No,replace_dir_token
Bolton and Undercliffe,east,Smallbridge and Firgrove,Is Bolton and Undercliffe east of Smallbridge and Firgrove?,Yes,no_change
Bolton and Undercliffe,east,Smallbridge and Firgrove,Is Smallbridge and Firgrove east of Bolton and Undercliffe?,No,flip_place
Birley,east,Priory,Is Birley east of Priory?,Yes,no_change
Birley,east,Priory,Is Birley west of Priory?,No,replace_dir_token
Darnall,east,Clubmoor,Is Darnall east of Clubmoor?,Yes,no_change
Darnall,east,Clubmoor,Is Clubmoor east of Darnall?,No,flip_place
Headingley,east,Moreton West and Saughall Massie,Is Headingley east of Moreton West and Saughall Massie?,Yes,no_change
Headingley,east,Moreton West and Saughall Massie,Is Headingley west of Moreton West and Saughall Massie?,No,replace_dir_token
Failsworth West,east,Leigh South,Is Failsworth West east of Leigh South?,Yes,no_change
Failsworth West,east,Leigh South,Is Leigh South east of Failsworth West?,No,flip_place
Armley,east,Saddleworth West and Lees,Is Armley east of Saddleworth West and Lees?,Yes,no_change
Armley,east,Saddleworth West and Lees,Is Saddleworth West and Lees east of Armley?,No,flip_place
Old Moat,east,County,Is Old Moat east of County?,Yes,no_change
Old Moat,east,County,Is County east of Old Moat?,No,flip_place
Failsworth East,east,Horwich,Is Failsworth East east of Horwich?,Yes,no_change
Failsworth East,east,Horwich,Is Failsworth East west of Horwich?,No,replace_dir_token
Stairfoot,east,East,Is Stairfoot east of East?,Yes,no_change
Stairfoot,east,East,Is East east of Stairfoot?,No,flip_place
Rawmarsh,east,Milkstone and Deeplish,Is Rawmarsh east of Milkstone and Deeplish?,Yes,no_change
Rawmarsh,east,Milkstone and Deeplish,Is Rawmarsh west of Milkstone and Deeplish?,No,replace_dir_token
Ashton St. Michael's,east,Longsight,Is Ashton St. Michael's east of Longsight?,Yes,no_change
Ashton St. Michael's,east,Longsight,Is Ashton St. Michael's west of Longsight?,No,replace_dir_token
Failsworth West,east,Radcliffe North,Is Failsworth West east of Radcliffe North?,Yes,no_change
Failsworth West,east,Radcliffe North,Is Radcliffe North east of Failsworth West?,No,flip_place
Ramsbottom,east,Halliwell,Is Ramsbottom east of Halliwell?,Yes,no_change
Ramsbottom,east,Halliwell,Is Halliwell east of Ramsbottom?,No,flip_place
Broomhill & Sharrow Vale,east,Astley Mosley Common,Is Broomhill & Sharrow Vale east of Astley Mosley Common?,Yes,no_change
Broomhill & Sharrow Vale,east,Astley Mosley Common,Is Broomhill & Sharrow Vale west of Astley Mosley Common?,No,replace_dir_token
Henley,east,Hodge Hill,Is Henley east of Hodge Hill?,Yes,no_change
Henley,east,Hodge Hill,Is Henley west of Hodge Hill?,No,replace_dir_token
Ossett,east,Ramsbottom,Is Ossett east of Ramsbottom?,Yes,no_change
Ossett,east,Ramsbottom,Is Ramsbottom east of Ossett?,No,flip_place
Chorlton Park,east,Page Moss,Is Chorlton Park east of Page Moss?,Yes,no_change
Chorlton Park,east,Page Moss,Is Page Moss east of Chorlton Park?,No,flip_place
Rossington,east,Derby,Is Rossington east of Derby?,Yes,no_change
Rossington,east,Derby,Is Derby east of Rossington?,No,flip_place
Bredbury and Woodley,east,Flixton,Is Bredbury and Woodley east of Flixton?,Yes,no_change
Bredbury and Woodley,east,Flixton,Is Bredbury and Woodley west of Flixton?,No,replace_dir_token
Newton,east,Brockmoor and Pensnett,Is Newton east of Brockmoor and Pensnett?,Yes,no_change
Newton,east,Brockmoor and Pensnett,Is Newton west of Brockmoor and Pensnett?,No,replace_dir_token
