place1,top,place2_Y,dis,place2_Z,triplet,question,options,answer,option_sources
Greets Green and Lyng,within,West Midlands Euro Region,distant,Knowle,"Greets Green and Lyng is within West Midlands Euro Region, distant Knowle",Which city is within West Midlands Euro Region and also distant to Knowle?,"A. Greets Green and Lyng
B. Illingworth and Mixenden
C. Stockland Green",A. Greets Green and Lyng,"correct,random,partial"
Greets Green and Lyng,within,West Midlands Euro Region,far,Saddleworth North,"Greets Green and Lyng is within West Midlands Euro Region, far Saddleworth North",Which city is within West Midlands Euro Region and also far to Saddleworth North?,"A. Bidston and St. James
B. Greets Green and Lyng
C. Rossington",B. Greets Green and Lyng,"partial,correct,random"
Greets Green and Lyng,borders,Wednesbury South,near,Wednesbury South,"Greets Green and Lyng is borders Wednesbury South, near Wednesbury South",Which city borders Wednesbury South and is also near to Wednesbury South?,"A. Yorkshire and the Humber Euro Region
B. Langley
C. Greets Green and Lyng",C. Greets Green and Lyng,"random,partial,correct"
Greets Green and Lyng,borders,Wednesbury South,close,Paddock,"Greets Green and Lyng is borders Wednesbury South, close Paddock",Which city borders Wednesbury South and is also close to Paddock?,"A. Blakenhall
B. Greets Green and Lyng
C. Cheadle Hulme South",B. Greets Green and Lyng,"partial,correct,random"
Edenthorpe,within,Metropolitan Borough of Doncaster,distant,Harewood,"Edenthorpe is within Metropolitan Borough of Doncaster, distant Harewood",Which city is within Metropolitan Borough of Doncaster and also distant to Harewood?,"A. Edenthorpe
B. Colne Valley
C. Brinsworth and Catcliffe",A. Edenthorpe,"correct,random,partial"
Edenthorpe,within,Metropolitan Borough of Doncaster,far,Rainhill,"Edenthorpe is within Metropolitan Borough of Doncaster, far Rainhill",Which city is within Metropolitan Borough of Doncaster and also far to Rainhill?,"A. Edenthorpe
B. Aston
C. South Jesmond",A. Edenthorpe,"correct,partial,random"
Edenthorpe,borders,Armthorpe,near,Finningley,"Edenthorpe is borders Armthorpe, near Finningley",Which city borders Armthorpe and is also near to Finningley?,"A. Bentley
B. Edenthorpe
C. Elswick",B. Edenthorpe,"partial,correct,random"
Edenthorpe,borders,Armthorpe,close,Wickersley,"Edenthorpe is borders Armthorpe, close Wickersley",Which city borders Armthorpe and is also close to Wickersley?,"A. Besses
B. Manor Castle
C. Edenthorpe",C. Edenthorpe,"random,partial,correct"
Langworthy,within,City of Salford,distant,Baildon,"Langworthy is within City of Salford, distant Baildon",Which city is within City of Salford and also distant to Baildon?,"A. Langworthy
B. Hoober
C. Metropolitan Borough of Stockport",A. Langworthy,"correct,partial,random"
Langworthy,within,City of Salford,far,North East,"Langworthy is within City of Salford, far North East",Which city is within City of Salford and also far to North East?,"A. Langworthy
B. Halewood North
C. Rainford",A. Langworthy,"correct,partial,random"
Langworthy,borders,Ordsall,near,Weaste and Seedley,"Langworthy is borders Ordsall, near Weaste and Seedley",Which city borders Ordsall and is also near to Weaste and Seedley?,"A. Burnage
B. Langworthy
C. Kearsley",B. Langworthy,"random,correct,partial"
Langworthy,borders,Ordsall,close,West Heywood,"Langworthy is borders Ordsall, close West Heywood",Which city borders Ordsall and is also close to West Heywood?,"A. Langworthy
B. Coldhurst
C. Broughton",A. Langworthy,"correct,random,partial"
Mexborough,within,Metropolitan Borough of Doncaster,distant,Town,"Mexborough is within Metropolitan Borough of Doncaster, distant Town",Which city is within Metropolitan Borough of Doncaster and also distant to Town?,"A. Mexborough
B. Batley West
C. Norris Green",A. Mexborough,"correct,partial,random"
Mexborough,within,Metropolitan Borough of Doncaster,far,Waterhead,"Mexborough is within Metropolitan Borough of Doncaster, far Waterhead",Which city is within Metropolitan Borough of Doncaster and also far to Waterhead?,"A. Mexborough
B. Shirley South
C. Smethwick",A. Mexborough,"correct,random,partial"
Mexborough,borders,Conisbrough Parks,near,Silverwood,"Mexborough is borders Conisbrough Parks, near Silverwood",Which city borders Conisbrough Parks and is also near to Silverwood?,"A. Mexborough
B. Edlington & Warmsworth
C. Claughton",A. Mexborough,"correct,partial,random"
Mexborough,borders,Conisbrough Parks,close,Wombwell,"Mexborough is borders Conisbrough Parks, close Wombwell",Which city borders Conisbrough Parks and is also close to Wombwell?,"A. Dore & Totley
B. Linacre
C. Mexborough",C. Mexborough,"partial,random,correct"
Pallion,within,City of Sunderland,distant,Woolsington,"Pallion is within City of Sunderland, distant Woolsington",Which city is within City of Sunderland and also distant to Woolsington?,"A. Pallion
B. Haydock
C. St. Michael's",A. Pallion,"correct,random,partial"
Pallion,within,City of Sunderland,far,South Elmsall and South Kirkby,"Pallion is within City of Sunderland, far South Elmsall and South Kirkby",Which city is within City of Sunderland and also far to South Elmsall and South Kirkby?,"A. Pallion
B. St. Chad's
C. Lyndon",A. Pallion,"correct,random,partial"
Pallion,borders,Southwick,near,Southwick,"Pallion is borders Southwick, near Southwick",Which city borders Southwick and is also near to Southwick?,"A. Pallion
B. Doxford
C. West Derby",A. Pallion,"correct,partial,random"
Pallion,borders,Southwick,close,Whickham North,"Pallion is borders Southwick, close Whickham North",Which city borders Southwick and is also close to Whickham North?,"A. St. Peter's
B. Armthorpe
C. Pallion",C. Pallion,"partial,random,correct"
Dunston Hill and Whickham East,within,North East Euro Region,distant,Fulwell,"Dunston Hill and Whickham East is within North East Euro Region, distant Fulwell",Which city is within North East Euro Region and also distant to Fulwell?,"A. Beacon and Bents
B. Dunston Hill and Whickham East
C. Tyburn",B. Dunston Hill and Whickham East,"partial,correct,random"
Dunston Hill and Whickham East,within,North East Euro Region,far,Penistone East,"Dunston Hill and Whickham East is within North East Euro Region, far Penistone East",Which city is within North East Euro Region and also far to Penistone East?,"A. Kingshurst and Fordbridge
B. Bredbury Green and Romiley
C. Dunston Hill and Whickham East",C. Dunston Hill and Whickham East,"partial,random,correct"
Dunston Hill and Whickham East,borders,Whickham South and Sunniside,near,South Jesmond,"Dunston Hill and Whickham East is borders Whickham South and Sunniside, near South Jesmond",Which city borders Whickham South and Sunniside and is also near to South Jesmond?,"A. North Jesmond
B. Primrose
C. Dunston Hill and Whickham East",C. Dunston Hill and Whickham East,"partial,random,correct"
Dunston Hill and Whickham East,borders,Whickham South and Sunniside,close,Wardley and Leam Lane,"Dunston Hill and Whickham East is borders Whickham South and Sunniside, close Wardley and Leam Lane",Which city borders Whickham South and Sunniside and is also close to Wardley and Leam Lane?,"A. Bredbury and Woodley
B. Dunston Hill and Whickham East
C. Horsley Hill",B. Dunston Hill and Whickham East,"random,correct,partial"
Bebington,within,Metropolitan Borough of Wirral,distant,Smithills,"Bebington is within Metropolitan Borough of Wirral, distant Smithills",Which city is within Metropolitan Borough of Wirral and also distant to Smithills?,"A. Royds
B. Harpurhey
C. Bebington",C. Bebington,"partial,random,correct"
Bebington,within,Metropolitan Borough of Wirral,far,Bloxwich East,"Bebington is within Metropolitan Borough of Wirral, far Bloxwich East",Which city is within Metropolitan Borough of Wirral and also far to Bloxwich East?,"A. Bamford
B. Soho
C. Bebington",C. Bebington,"partial,random,correct"
Bebington,borders,Prenton,near,St. Michael's,"Bebington is borders Prenton, near St. Michael's",Which city borders Prenton and is also near to St. Michael's?,"A. Ashton upon Mersey
B. Copt Hill
C. Bebington",C. Bebington,"random,partial,correct"
Bebington,borders,Prenton,close,Roby,"Bebington is borders Prenton, close Roby",Which city borders Prenton and is also close to Roby?,"A. Bebington
B. Moston
C. Anfield",A. Bebington,"correct,random,partial"
Pudsey,within,County Borough of Leeds,distant,Stepping Hill,"Pudsey is within County Borough of Leeds, distant Stepping Hill",Which city is within County Borough of Leeds and also distant to Stepping Hill?,"A. Haydock
B. Pudsey
C. Town Centre",B. Pudsey,"partial,correct,random"
Pudsey,within,County Borough of Leeds,far,Smith's Wood,"Pudsey is within County Borough of Leeds, far Smith's Wood",Which city is within County Borough of Leeds and also far to Smith's Wood?,"A. Pudsey
B. Bromley Cross
C. South Middleton",A. Pudsey,"correct,partial,random"
Pudsey,borders,Armley,near,Windhill and Wrose,"Pudsey is borders Armley, near Windhill and Wrose",Which city borders Armley and is also near to Windhill and Wrose?,"A. Pudsey
B. Pendlebury
C. Idle and Thackley",A. Pudsey,"correct,random,partial"
Pudsey,borders,Armley,close,Temple Newsam,"Pudsey is borders Armley, close Temple Newsam",Which city borders Armley and is also close to Temple Newsam?,"A. Pudsey
B. Bolton and Undercliffe
C. Penistone East",A. Pudsey,"correct,random,partial"
Elton,within,Metropolitan Borough of Bury,distant,Shipley,"Elton is within Metropolitan Borough of Bury, distant Shipley",Which city is within Metropolitan Borough of Bury and also distant to Shipley?,"A. Chorlton Park
B. Elton
C. Dearne North",B. Elton,"random,correct,partial"
Elton,within,Metropolitan Borough of Bury,far,Finningley,"Elton is within Metropolitan Borough of Bury, far Finningley",Which city is within Metropolitan Borough of Bury and also far to Finningley?,"A. Elton
B. Holme Valley North
C. Langworthy",A. Elton,"correct,random,partial"
Elton,borders,East,near,West Heywood,"Elton is borders East, near West Heywood",Which city borders East and is also near to West Heywood?,"A. Elton
B. North Heywood
C. Bamford",A. Elton,"correct,random,partial"
Elton,borders,East,close,Harpurhey,"Elton is borders East, close Harpurhey",Which city borders East and is also close to Harpurhey?,"A. Worsley Mesnes
B. Elton
C. Denton North East",B. Elton,"random,correct,partial"
Thornton and Allerton,within,Yorkshire and the Humber Euro Region,distant,Valley,"Thornton and Allerton is within Yorkshire and the Humber Euro Region, distant Valley",Which city is within Yorkshire and the Humber Euro Region and also distant to Valley?,"A. Kensington and Fairfield
B. Calder
C. Thornton and Allerton",C. Thornton and Allerton,"random,partial,correct"
