place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,answer,transition
Moston,north,Darlaston South,within,North West Euro Region,near,St. Peter's,"Moston is within North West Euro Region, near to St. Peter's, and north of Darlaston South",Is Moston within North West Euro Region and near to St. Peter's and north of Darlaston South?,Yes,no_change
Moston,north,Darlaston South,within,North West Euro Region,near,St. Peter's,"Moston is within North West Euro Region, near to St. Peter's, and north of Darlaston South",Does Moston border North West Euro Region and near to St. Peter's and north of Darlaston South?,No,replace_top_token
North East,north,Norton,within,Metropolitan Borough of Barnsley,near,Wombwell,"North East is within Metropolitan Borough of Barnsley, near to Wombwell, and north of Norton",Is North East within Metropolitan Borough of Barnsley and near to Wombwell and north of Norton?,Yes,no_change
North East,north,Norton,within,Metropolitan Borough of Barnsley,near,Wombwell,"North East is within Metropolitan Borough of Barnsley, near to Wombwell, and north of Norton",Is North East within Metropolitan Borough of Barnsley and far to Wombwell and north of Norton?,No,replace_dis_token
Hale Central,north,Meriden West Midlands,within,North West Euro Region,near,Woodhouse Park,"Hale Central is within North West Euro Region, near to Woodhouse Park, and north of Meriden West Midlands",Is Hale Central within North West Euro Region and near to Woodhouse Park and north of Meriden West Midlands?,Yes,no_change
Hale Central,north,Meriden West Midlands,within,North West Euro Region,near,Woodhouse Park,"Hale Central is within North West Euro Region, near to Woodhouse Park, and north of Meriden West Midlands",Is North West Euro Region within Hale Central and near to Woodhouse Park and north of Meriden West Midlands?,No,flip_place
Oxton,north,Pheasey Park Farm,within,Metropolitan Borough of Wirral,near,Prenton,"Oxton is within Metropolitan Borough of Wirral, near to Prenton, and north of Pheasey Park Farm",Is Oxton within Metropolitan Borough of Wirral and near to Prenton and north of Pheasey Park Farm?,Yes,no_change
Oxton,north,Pheasey Park Farm,within,Metropolitan Borough of Wirral,near,Prenton,"Oxton is within Metropolitan Borough of Wirral, near to Prenton, and north of Pheasey Park Farm",Is Oxton within Metropolitan Borough of Wirral and near to Prenton and south of Pheasey Park Farm?,No,replace_dir_token
Abram,north,Parr,within,North West Euro Region,near,Winstanley,"Abram is within North West Euro Region, near to Winstanley, and north of Parr",Is Abram within North West Euro Region and near to Winstanley and north of Parr?,Yes,no_change
Abram,north,Parr,within,North West Euro Region,near,Winstanley,"Abram is within North West Euro Region, near to Winstanley, and north of Parr",Is North West Euro Region within Abram and near to Winstanley and north of Parr?,No,flip_place
Acocks Green,north,Knowle,within,West Midlands Euro Region,near,Springfield,"Acocks Green is within West Midlands Euro Region, near to Springfield, and north of Knowle",Is Acocks Green within West Midlands Euro Region and near to Springfield and north of Knowle?,Yes,no_change
