place1,dis,place2_Y,dir,place2_Z,triplet,question,answer,transition
St. Michaels,near,Halewood,north,St. Alphege,"St. Michaels is near Halewood, north St. Alphege",Is St. Michaels near to Halewood and north of St. Alphege?,Yes,no_change
St. Michaels,near,Halewood,north,St. Alphege,"St. Michaels is near Halewood, north St. Alphege",Is Halewood far to St. Michaels and north of St. Alphege?,No,flip_place_replace_distance
St. Michaels,close,Wigan West,west,Wakefield West,"St. Michaels is close Wigan West, west Wakefield West",Is St. Michaels close to Wigan West and west of Wakefield West?,Yes,no_change
St. Michaels,close,Wigan West,west,Wakefield West,"St. Michaels is close Wigan West, west Wakefield West",Is St. Michaels close to Wigan West and east of Wakefield West?,No,replace_direction
St. Michaels,distant,Stretford,south,Whiteleas,"St. Michaels is distant Stretford, south Whiteleas",Is St. Michaels distant to Stretford and south of Whiteleas?,Yes,no_change
St. Michaels,distant,Stretford,south,Whiteleas,"St. Michaels is distant Stretford, south Whiteleas",Is St. Michaels distant to Stretford and north of Whiteleas?,No,replace_direction
St. Michaels,far,Tyburn,east,Seacombe,"St. Michaels is far Tyburn, east Seacombe",Is St. Michaels far to Tyburn and east of Seacombe?,Yes,no_change
St. Michaels,far,Tyburn,east,Seacombe,"St. Michaels is far Tyburn, east Seacombe",Is St. Michaels near to Tyburn and east of Seacombe?,No,replace_distance
Ouseburn,near,Wallsend,north,Bradford,"Ouseburn is near Wallsend, north Bradford",Is Ouseburn near to Wallsend and north of Bradford?,Yes,no_change
Ouseburn,near,Wallsend,north,Bradford,"Ouseburn is near Wallsend, north Bradford",Is Ouseburn far to Wallsend and north of Bradford?,No,replace_distance
Ouseburn,close,Washington Central,west,Biddick and All Saints,"Ouseburn is close Washington Central, west Biddick and All Saints",Is Ouseburn close to Washington Central and west of Biddick and All Saints?,Yes,no_change
Ouseburn,close,Washington Central,west,Biddick and All Saints,"Ouseburn is close Washington Central, west Biddick and All Saints",Is Washington Central distant to Ouseburn and west of Biddick and All Saints?,No,flip_place_replace_distance
Ouseburn,far,West Ecclesfield,east,Chopwell and Rowlands Gill,"Ouseburn is far West Ecclesfield, east Chopwell and Rowlands Gill",Is Ouseburn far to West Ecclesfield and east of Chopwell and Rowlands Gill?,Yes,no_change
