place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,options,answer,option_sources
Baguley,north,Willenhall North,within,North West Euro Region,near,Old Moat,"Baguley within North West Euro Region, near to Old Moat, and north of Willenhall North",Which city is within North West Euro Region and also near to Old Moat and north of Willenhall North?,"A. Heatons North
B. Streetly
C. Baguley",C. Baguley,"partial,random,correct"
Alwoodley,north,Beighton,within,County Borough of Leeds,near,Harewood,"Alwoodley within County Borough of Leeds, near to Harewood, and north of Beighton",Which city is within County Borough of Leeds and also near to Harewood and north of Beighton?,"A. Calverley and Farsley
B. Alwoodley
C. West Derby",B. Alwoodley,"partial,correct,random"
Castle,north,Hoylake and Meols,within,North East Euro Region,near,Westerhope,"Castle within North East Euro Region, near to Westerhope, and north of Hoylake and Meols",Which city is within North East Euro Region and also near to Westerhope and north of Hoylake and Meols?,"A. Castle
B. Longbenton
C. Rossington",A. Castle,"correct,partial,random"
Upper Stoke,north,Wainbody,within,Coventry,near,Wainbody,"Upper Stoke within Coventry, near to Wainbody, and north of Wainbody",Which city is within Coventry and also near to Wainbody and north of Wainbody?,"A. Ecclesall
B. Church
C. Upper Stoke",C. Upper Stoke,"random,partial,correct"
Harborne,north,Selly Oak,within,West Midlands Euro Region,near,Kings Norton,"Harborne within West Midlands Euro Region, near to Kings Norton, and north of Selly Oak",Which city is within West Midlands Euro Region and also near to Kings Norton and north of Selly Oak?,"A. Standish with Langtree
B. Harborne
C. St. Pauls",B. Harborne,"random,correct,partial"
Keighley East,north,Hipperholme and Lightcliffe,within,City of Bradford,near,Baildon,"Keighley East within City of Bradford, near to Baildon, and north of Hipperholme and Lightcliffe",Which city is within City of Bradford and also near to Baildon and north of Hipperholme and Lightcliffe?,"A. Keighley East
B. Bridges
C. City",A. Keighley East,"correct,random,partial"
Wingrove,north,Penn,within,Newcastle upon Tyne,near,Woolsington,"Wingrove within Newcastle upon Tyne, near to Woolsington, and north of Penn",Which city is within Newcastle upon Tyne and also near to Woolsington and north of Penn?,"A. Wingrove
B. St. Mary's
C. City",A. Wingrove,"correct,random,partial"
Mosborough,north,Bilston North,within,Sheffield,near,Richmond,"Mosborough within Sheffield, near to Richmond, and north of Bilston North",Which city is within Sheffield and also near to Richmond and north of Bilston North?,"A. Mosborough
B. Blythe
C. Manor Castle",A. Mosborough,"correct,random,partial"
Holbrook,north,Binley and Willenhall,within,West Midlands Euro Region,near,Longford,"Holbrook within West Midlands Euro Region, near to Longford, and north of Binley and Willenhall",Which city is within West Midlands Euro Region and also near to Longford and north of Binley and Willenhall?,"A. Hillsborough
B. Claremont
C. Holbrook",C. Holbrook,"random,partial,correct"
Bartley Green,north,Northfield,within,Birmingham,near,Hayley Green and Cradley South,"Bartley Green within Birmingham, near to Hayley Green and Cradley South, and north of Northfield",Which city is within Birmingham and also near to Hayley Green and Cradley South and north of Northfield?,"A. Bartley Green
B. Holbrook
C. Tyburn",A. Bartley Green,"correct,random,partial"
Sutton Four Oaks,north,Harborne,within,West Midlands Euro Region,near,Sutton New Hall,"Sutton Four Oaks within West Midlands Euro Region, near to Sutton New Hall, and north of Harborne",Which city is within West Midlands Euro Region and also near to Sutton New Hall and north of Harborne?,"A. Rushall-Shelfield
B. Sutton Four Oaks
C. Norris Green",B. Sutton Four Oaks,"partial,correct,random"
