question,answer,transition,concept,top,dis,dir
Is Airedale and Ferry Fryston east of Ancoats and Clayton?,Yes,no_change,1,0,0,1
Is Airedale and Ferry Fryston west of Ancoats and Clayton?,No,replace_dir_token,1,0,0,1
Is Davyhulme East east of Page Moss?,Yes,no_change,1,0,0,1
Is Page Moss east of Davyhulme East?,No,flip_place,1,0,0,1
Is Dodworth east of Stockbridge?,Yes,no_change,1,0,0,1
Is Stockbridge east of Dodworth?,No,flip_place,1,0,0,1
Is Earlestown east of Everton?,Yes,no_change,1,0,0,1
Is Everton east of Earlestown?,No,flip_place,1,0,0,1
Is Heckmondwike east of Warley?,Yes,no_change,1,0,0,1
Is Heckmondwike west of Warley?,No,replace_dir_token,1,0,0,1
Is Idle and Thackley east of Atherton?,Yes,no_change,1,0,0,1
Is Idle and Thackley west of Atherton?,No,replace_dir_token,1,0,0,1
Is Cheetham east of Leasowe and Moreton East?,Yes,no_change,1,0,0,1
Is Cheetham west of Leasowe and Moreton East?,No,replace_dir_token,1,0,0,1
Is Castleford Central and Glasshoughton east of Moss Bank?,Yes,no_change,1,0,0,1
Is Moss Bank east of Castleford Central and Glasshoughton?,No,flip_place,1,0,0,1
Is Newsome east of Allerton and Hunts Cross?,Yes,no_change,1,0,0,1
Is Allerton and Hunts Cross east of Newsome?,No,flip_place,1,0,0,1
Is Dewsbury South east of Ancoats and Clayton?,Yes,no_change,1,0,0,1
Is Ancoats and Clayton east of Dewsbury South?,No,flip_place,1,0,0,1
Is Ardsley and Robin Hood east of Riverside?,Yes,no_change,1,0,0,1
Is Riverside east of Ardsley and Robin Hood?,No,flip_place,1,0,0,1
Is Horbury and South Ossett east of Ardwick?,Yes,no_change,1,0,0,1
Is Horbury and South Ossett west of Ardwick?,No,replace_dir_token,1,0,0,1
Is Withington east of Birkdale?,Yes,no_change,1,0,0,1
Is Birkdale east of Withington?,No,flip_place,1,0,0,1
Is Longford east of Shard End?,Yes,no_change,1,0,0,1
Is Shard End east of Longford?,No,flip_place,1,0,0,1
Is Finningley east of St. Mary's?,Yes,no_change,1,0,0,1
Is Finningley west of St. Mary's?,No,replace_dir_token,1,0,0,1
Is Rastrick east of Higher Blackley?,Yes,no_change,1,0,0,1
Is Rastrick west of Higher Blackley?,No,replace_dir_token,1,0,0,1
Is Wakefield East east of Denton West?,Yes,no_change,1,0,0,1
Is Denton West east of Wakefield East?,No,flip_place,1,0,0,1
Is Hoyland Milton east of Dodworth?,Yes,no_change,1,0,0,1
Is Hoyland Milton west of Dodworth?,No,replace_dir_token,1,0,0,1
Is Harper Green east of Allerton and Hunts Cross?,Yes,no_change,1,0,0,1
Is Harper Green west of Allerton and Hunts Cross?,No,replace_dir_token,1,0,0,1
Is Central east of Ashton?,Yes,no_change,1,0,0,1
Is Ashton east of Central?,No,flip_place,1,0,0,1
Is Golcar east of Chorlton?,Yes,no_change,1,0,0,1
Is Golcar west of Chorlton?,No,replace_dir_token,1,0,0,1
Is Atherleigh east of Ravenmeols?,Yes,no_change,1,0,0,1
Is Atherleigh west of Ravenmeols?,No,replace_dir_token,1,0,0,1
Is Kirkburton east of Longford?,Yes,no_change,1,0,0,1
Is Longford east of Kirkburton?,No,flip_place,1,0,0,1
Is Gorse Hill east of Prescot South?,Yes,no_change,1,0,0,1
Is Prescot South east of Gorse Hill?,No,flip_place,1,0,0,1
Is Irlam east of Hindley Green?,Yes,no_change,1,0,0,1
Is Irlam west of Hindley Green?,No,replace_dir_token,1,0,0,1
Is Stanley and Outwood East east of Waterhead?,Yes,no_change,1,0,0,1
Is Waterhead east of Stanley and Outwood East?,No,flip_place,1,0,0,1
Is Ecclesall east of Oxton?,Yes,no_change,1,0,0,1
Is Oxton east of Ecclesall?,No,flip_place,1,0,0,1
Is Golcar east of West Park?,Yes,no_change,1,0,0,1
Is West Park east of Golcar?,No,flip_place,1,0,0,1
Is Monk Bretton east of Warbreck?,Yes,no_change,1,0,0,1
Is Monk Bretton west of Warbreck?,No,replace_dir_token,1,0,0,1
Is Fulwell east of Whickham North?,Yes,no_change,1,0,0,1
Is Fulwell west of Whickham North?,No,replace_dir_token,1,0,0,1
Is Almondbury east of Cressington?,Yes,no_change,1,0,0,1
Is Almondbury west of Cressington?,No,replace_dir_token,1,0,0,1
Is Woodhouse east of Blundellsands?,Yes,no_change,1,0,0,1
Is Woodhouse west of Blundellsands?,No,replace_dir_token,1,0,0,1
Is Beacon and Bents east of Primrose?,Yes,no_change,1,0,0,1
Is Beacon and Bents west of Primrose?,No,replace_dir_token,1,0,0,1
Is Little Horton east of Upton?,Yes,no_change,1,0,0,1
Is Little Horton west of Upton?,No,replace_dir_token,1,0,0,1
Is St. Michaels east of Old Swan?,Yes,no_change,1,0,0,1
Is Old Swan east of St. Michaels?,No,flip_place,1,0,0,1
Is Edenthorpe east of St. Michaels?,Yes,no_change,1,0,0,1
Is Edenthorpe west of St. Michaels?,No,replace_dir_token,1,0,0,1
Is Roman Ridge east of Irwell Riverside?,Yes,no_change,1,0,0,1
Is Roman Ridge west of Irwell Riverside?,No,replace_dir_token,1,0,0,1
Is Chirton east of Saltwell?,Yes,no_change,1,0,0,1
Is Chirton west of Saltwell?,No,replace_dir_token,1,0,0,1
Is Ardwick east of Sudell?,Yes,no_change,1,0,0,1
Is Ardwick west of Sudell?,No,replace_dir_token,1,0,0,1
