question,options,answer,option_sources,concept,top,dis,dir
Which city is located in east of Ancoats and Clayton?,"A. Airedale and Ferry Fryston
B. Dewsbury South
C. Ardsley and Robin Hood",A. Airedale and Ferry Fryston,"correct,hard,random",1,0,0,1
Which city is located in east of Page Moss?,"A. Chorlton Park
B. Davyhulme East
C. Heaton and Lostock",B. Davyhulme East,"hard,correct,random",1,0,0,1
Which city is located in east of Stockbridge?,"A. Dodworth
B. Charlestown
C. Crookes & Crosspool",A. Dodworth,"correct,hard,random",1,0,0,1
Which city is located in east of Everton?,"A. Earlestown
B. Batley East
C. Chopwell and Rowlands Gill",A. Earlestown,"correct,hard,random",1,0,0,1
Which city is located in east of Warley?,"A. Heckmondwike
B. Cleckheaton
C. Little Lever and Darcy Lever",A. Heckmondwike,"correct,hard,random",1,0,0,1
Which city is located in east of Atherton?,"A. Town
B. Idle and Thackley
C. Bradford",B. Idle and Thackley,"hard,correct,random",1,0,0,1
Which city is located in east of Leasowe and Moreton East?,"A. Brighouse
B. Cambridge
C. Cheetham",C. Cheetham,"hard,random,correct",1,0,0,1
Which city is located in east of Moss Bank?,"A. Brierley Hill
B. Castleford Central and Glasshoughton
C. Davenport and Cale Green",B. Castleford Central and Glasshoughton,"random,correct,hard",1,0,0,1
Which city is located in east of Allerton and Hunts Cross?,"A. Newsome
B. Harper Green
C. Astley Village",A. Newsome,"correct,hard,random",1,0,0,1
Which city is located in east of Ancoats and Clayton?,"A. Dewsbury South
B. Airedale and Ferry Fryston
C. Park & Arbourthorne",A. Dewsbury South,"correct,hard,random",1,0,0,1
Which city is located in east of Riverside?,"A. Royton South
B. Irlam
C. Ardsley and Robin Hood",C. Ardsley and Robin Hood,"hard,random,correct",1,0,0,1
Which city is located in east of Ardwick?,"A. Horbury and South Ossett
B. Altofts and Whitwood
C. Denby Dale",A. Horbury and South Ossett,"correct,hard,random",1,0,0,1
Which city is located in east of Birkdale?,"A. Royton North
B. Withington
C. Moreton West and Saughall Massie",B. Withington,"hard,correct,random",1,0,0,1
Which city is located in east of Shard End?,"A. Longford
B. Hyde Newton
C. Radcliffe West",A. Longford,"correct,hard,random",1,0,0,1
Which city is located in east of St. Mary's?,"A. Fulwood
B. Finningley
C. Woolton",B. Finningley,"hard,correct,random",1,0,0,1
Which city is located in east of Higher Blackley?,"A. Silhill
B. Rastrick
C. Felling",B. Rastrick,"hard,correct,random",1,0,0,1
Which city is located in east of Denton West?,"A. Mexborough
B. Halliwell
C. Wakefield East",C. Wakefield East,"hard,random,correct",1,0,0,1
Which city is located in east of Dodworth?,"A. Ovenden
B. Bradford Moor
C. Hoyland Milton",C. Hoyland Milton,"hard,random,correct",1,0,0,1
Which city is located in east of Allerton and Hunts Cross?,"A. Newsome
B. Crookes & Crosspool
C. Harper Green",C. Harper Green,"hard,random,correct",1,0,0,1
Which city is located in east of Ashton?,"A. Central
B. Rockingham
C. Radcliffe West",A. Central,"correct,hard,random",1,0,0,1
Which city is located in east of Chorlton?,"A. Golcar
B. Dewsbury South
C. Whickham South and Sunniside",A. Golcar,"correct,hard,random",1,0,0,1
Which city is located in east of Ravenmeols?,"A. Atherleigh
B. Crookes & Crosspool
C. Tynemouth",A. Atherleigh,"correct,hard,random",1,0,0,1
Which city is located in east of Longford?,"A. Clatterbridge
B. Bredbury and Woodley
C. Kirkburton",C. Kirkburton,"random,hard,correct",1,0,0,1
Which city is located in east of Prescot South?,"A. Chapel Allerton
B. Gorse Hill
C. Hindley Green",B. Gorse Hill,"hard,correct,random",1,0,0,1
Which city is located in east of Hindley Green?,"A. Irlam
B. Sedgley
C. Silverwood",A. Irlam,"correct,random,hard",1,0,0,1
Which city is located in east of Waterhead?,"A. Stanley and Outwood East
B. Princes End
C. Hayley Green and Cradley South",A. Stanley and Outwood East,"correct,random,hard",1,0,0,1
Which city is located in east of Oxton?,"A. Ecclesall
B. Liversedge and Gomersal
C. Wheatley Hills & Intake",A. Ecclesall,"correct,hard,random",1,0,0,1
Which city is located in east of West Park?,"A. Chadderton South
B. Shevington with Lower Ground
C. Golcar",C. Golcar,"hard,random,correct",1,0,0,1
