place1,relation,place2,triplet,question,options,answer,option_sources
Airedale and Ferry Fryston,east,Ancoats and Clayton,Airedale and Ferry Fryston is east Ancoats and Clayton,Which city is located in east of Ancoats and Clayton?,"A. Airedale and Ferry Fryston
B. Dewsbury South
C. Ardsley and Robin Hood",A. Airedale and Ferry Fryston,"correct,hard,random"
Davyhulme East,east,Page Moss,Davyhulme East is east Page Moss,Which city is located in east of Page Moss?,"A. Chorlton Park
B. Davyhulme East
C. Heaton and Lostock",B. Davyhulme East,"hard,correct,random"
Dodworth,east,Stockbridge,Dodworth is east Stockbridge,Which city is located in east of Stockbridge?,"A. Dodworth
B. Charlestown
C. Crookes & Crosspool",A. Dodworth,"correct,hard,random"
Earlestown,east,Everton,Earlestown is east Everton,Which city is located in east of Everton?,"A. Earlestown
B. Batley East
C. Chopwell and Rowlands Gill",A. Earlestown,"correct,hard,random"
Heckmondwike,east,Warley,Heckmondwike is east Warley,Which city is located in east of Warley?,"A. Heckmondwike
B. Cleckheaton
C. Little Lever and Darcy Lever",A. Heckmondwike,"correct,hard,random"
Idle and Thackley,east,Atherton,Idle and Thackley is east Atherton,Which city is located in east of Atherton?,"A. Town
B. Idle and Thackley
C. Bradford",B. Idle and Thackley,"hard,correct,random"
Cheetham,east,Leasowe and Moreton East,Cheetham is east Leasowe and Moreton East,Which city is located in east of Leasowe and Moreton East?,"A. Brighouse
B. Cambridge
C. Cheetham",C. Cheetham,"hard,random,correct"
Castleford Central and Glasshoughton,east,Moss Bank,Castleford Central and Glasshoughton is east Moss Bank,Which city is located in east of Moss Bank?,"A. Brierley Hill
B. Castleford Central and Glasshoughton
C. Davenport and Cale Green",B. Castleford Central and Glasshoughton,"random,correct,hard"
Newsome,east,Allerton and Hunts Cross,Newsome is east Allerton and Hunts Cross,Which city is located in east of Allerton and Hunts Cross?,"A. Newsome
B. Harper Green
C. Astley Village",A. Newsome,"correct,hard,random"
Dewsbury South,east,Ancoats and Clayton,Dewsbury South is east Ancoats and Clayton,Which city is located in east of Ancoats and Clayton?,"A. Dewsbury South
B. Airedale and Ferry Fryston
C. Park & Arbourthorne",A. Dewsbury South,"correct,hard,random"
Ardsley and Robin Hood,east,Riverside,Ardsley and Robin Hood is east Riverside,Which city is located in east of Riverside?,"A. Royton South
B. Irlam
C. Ardsley and Robin Hood",C. Ardsley and Robin Hood,"hard,random,correct"
Horbury and South Ossett,east,Ardwick,Horbury and South Ossett is east Ardwick,Which city is located in east of Ardwick?,"A. Horbury and South Ossett
B. Altofts and Whitwood
C. Denby Dale",A. Horbury and South Ossett,"correct,hard,random"
Withington,east,Birkdale,Withington is east Birkdale,Which city is located in east of Birkdale?,"A. Royton North
B. Withington
C. Moreton West and Saughall Massie",B. Withington,"hard,correct,random"
Longford,east,Shard End,Longford is east Shard End,Which city is located in east of Shard End?,"A. Longford
B. Hyde Newton
C. Radcliffe West",A. Longford,"correct,hard,random"
Finningley,east,St. Mary's,Finningley is east St. Mary's,Which city is located in east of St. Mary's?,"A. Fulwood
B. Finningley
C. Woolton",B. Finningley,"hard,correct,random"
Rastrick,east,Higher Blackley,Rastrick is east Higher Blackley,Which city is located in east of Higher Blackley?,"A. Silhill
B. Rastrick
C. Felling",B. Rastrick,"hard,correct,random"
Wakefield East,east,Denton West,Wakefield East is east Denton West,Which city is located in east of Denton West?,"A. Mexborough
B. Halliwell
C. Wakefield East",C. Wakefield East,"hard,random,correct"
Hoyland Milton,east,Dodworth,Hoyland Milton is east Dodworth,Which city is located in east of Dodworth?,"A. Ovenden
B. Bradford Moor
C. Hoyland Milton",C. Hoyland Milton,"hard,random,correct"
Harper Green,east,Allerton and Hunts Cross,Harper Green is east Allerton and Hunts Cross,Which city is located in east of Allerton and Hunts Cross?,"A. Newsome
B. Crookes & Crosspool
C. Harper Green",C. Harper Green,"hard,random,correct"
Central,east,Ashton,Central is east Ashton,Which city is located in east of Ashton?,"A. Central
B. Rockingham
C. Radcliffe West",A. Central,"correct,hard,random"
Golcar,east,Chorlton,Golcar is east Chorlton,Which city is located in east of Chorlton?,"A. Golcar
B. Dewsbury South
C. Whickham South and Sunniside",A. Golcar,"correct,hard,random"
Atherleigh,east,Ravenmeols,Atherleigh is east Ravenmeols,Which city is located in east of Ravenmeols?,"A. Atherleigh
B. Crookes & Crosspool
C. Tynemouth",A. Atherleigh,"correct,hard,random"
Kirkburton,east,Longford,Kirkburton is east Longford,Which city is located in east of Longford?,"A. Clatterbridge
B. Bredbury and Woodley
C. Kirkburton",C. Kirkburton,"random,hard,correct"
Gorse Hill,east,Prescot South,Gorse Hill is east Prescot South,Which city is located in east of Prescot South?,"A. Chapel Allerton
B. Gorse Hill
C. Hindley Green",B. Gorse Hill,"hard,correct,random"
Irlam,east,Hindley Green,Irlam is east Hindley Green,Which city is located in east of Hindley Green?,"A. Irlam
B. Sedgley
C. Silverwood",A. Irlam,"correct,random,hard"
Stanley and Outwood East,east,Waterhead,Stanley and Outwood East is east Waterhead,Which city is located in east of Waterhead?,"A. Stanley and Outwood East
B. Princes End
C. Hayley Green and Cradley South",A. Stanley and Outwood East,"correct,random,hard"
Ecclesall,east,Oxton,Ecclesall is east Oxton,Which city is located in east of Oxton?,"A. Ecclesall
B. Liversedge and Gomersal
C. Wheatley Hills & Intake",A. Ecclesall,"correct,hard,random"
Golcar,east,West Park,Golcar is east West Park,Which city is located in east of West Park?,"A. Chadderton South
B. Shevington with Lower Ground
C. Golcar",C. Golcar,"hard,random,correct"
Monk Bretton,east,Warbreck,Monk Bretton is east Warbreck,Which city is located in east of Warbreck?,"A. Monk Bretton
B. Keppel
C. Whickham South and Sunniside",A. Monk Bretton,"correct,hard,random"
Fulwell,east,Whickham North,Fulwell is east Whickham North,Which city is located in east of Whickham North?,"A. Fulwell
B. Metropolitan Borough of Wirral
C. Hyde Newton",A. Fulwell,"correct,random,hard"
Almondbury,east,Cressington,Almondbury is east Cressington,Which city is located in east of Cressington?,"A. Wardle and West Littleborough
B. Clayton and Fairweather Green
C. Almondbury",C. Almondbury,"random,hard,correct"
Woodhouse,east,Blundellsands,Woodhouse is east Blundellsands,Which city is located in east of Blundellsands?,"A. Offerton Park
B. Woodhouse
C. Amblecote",B. Woodhouse,"hard,correct,random"
Beacon and Bents,east,Primrose,Beacon and Bents is east Primrose,Which city is located in east of Primrose?,"A. Ainsdale
B. Beacon and Bents
C. Hall Green",B. Beacon and Bents,"random,correct,hard"
Little Horton,east,Upton,Little Horton is east Upton,Which city is located in east of Upton?,"A. Hayley Green and Cradley South
B. Belle Vale
C. Little Horton",C. Little Horton,"random,hard,correct"
St. Michaels,east,Old Swan,St. Michaels is east Old Swan,Which city is located in east of Old Swan?,"A. Bowdon
B. Little Hulton
C. St. Michaels",C. St. Michaels,"random,hard,correct"
Edenthorpe,east,St. Michaels,Edenthorpe is east St. Michaels,Which city is located in east of St. Michaels?,"A. Chorlton Park
B. Atherleigh
C. Edenthorpe",C. Edenthorpe,"random,hard,correct"
Roman Ridge,east,Irwell Riverside,Roman Ridge is east Irwell Riverside,Which city is located in east of Irwell Riverside?,"A. Silverwood
B. Royds
C. Roman Ridge",C. Roman Ridge,"hard,random,correct"
Chirton,east,Saltwell,Chirton is east Saltwell,Which city is located in east of Saltwell?,"A. Halewood
B. Cullercoats
C. Chirton",C. Chirton,"random,hard,correct"
Ardwick,east,Sudell,Ardwick is east Sudell,Which city is located in east of Sudell?,"A. Washwood Heath
B. North Heywood
C. Ardwick",C. Ardwick,"random,hard,correct"
City,east,Bromborough,City is east Bromborough,Which city is located in east of Bromborough?,"A. Coldhurst
B. City
C. Eccleston St Helens",B. City,"random,correct,hard"
Dinnington St. John's,east,Norden,Dinnington St. John's is east Norden,Which city is located in east of Norden?,"A. Sprotbrough and Cusworth
B. Dinnington St. John's
C. Sale Moor",B. Dinnington St. John's,"random,correct,hard"
Kingstone,east,Meols,Kingstone is east Meols,Which city is located in east of Meols?,"A. Blackrod
B. Elton
C. Kingstone",C. Kingstone,"random,hard,correct"
Audenshaw,east,Moss Side,Audenshaw is east Moss Side,Which city is located in east of Moss Side?,"A. Meols
B. Audenshaw
C. Saddleworth West and Lees",B. Audenshaw,"random,correct,hard"
Town,east,Atherton,Town is east Atherton,Which city is located in east of Atherton?,"A. Idle and Thackley
B. Town
C. West Derby",B. Town,"hard,correct,random"
South Elmsall and South Kirkby,east,Westhoughton North and Chew Moor,South Elmsall and South Kirkby is east Westhoughton North and Chew Moor,Which city is located in east of Westhoughton North and Chew Moor?,"A. Belle Vale
B. South Elmsall and South Kirkby
C. Broomhill & Sharrow Vale",B. South Elmsall and South Kirkby,"random,correct,hard"
Knotty Ash,east,Heswall,Knotty Ash is east Heswall,Which city is located in east of Heswall?,"A. Skircoat
B. Knotty Ash
C. Picton Cheshire",B. Knotty Ash,"hard,correct,random"
Bramhall North,east,Astley Mosley Common,Bramhall North is east Astley Mosley Common,Which city is located in east of Astley Mosley Common?,"A. Batley East
B. Bramhall North
C. Norton",B. Bramhall North,"hard,correct,random"
Finningley,east,Clubmoor,Finningley is east Clubmoor,Which city is located in east of Clubmoor?,"A. Finningley
B. Darnall
C. Bebington",A. Finningley,"correct,hard,random"
North Heywood,east,Sudell,North Heywood is east Sudell,Which city is located in east of Sudell?,"A. Todmorden
B. North Heywood
C. West Middleton",B. North Heywood,"hard,correct,random"
Hebburn South,east,Byker,Hebburn South is east Byker,Which city is located in east of Byker?,"A. Hebburn South
B. Marple South
C. Dore & Totley",A. Hebburn South,"correct,random,hard"
Soho and Victoria,east,Blackheath,Soho and Victoria is east Blackheath,Which city is located in east of Blackheath?,"A. Castle Bromwich
B. Soho and Victoria
C. Quinton",B. Soho and Victoria,"random,correct,hard"
Sprotbrough and Cusworth,east,Holme Valley,Sprotbrough and Cusworth is east Holme Valley,Which city is located in east of Holme Valley?,"A. Mossley Hill
B. Sprotbrough and Cusworth
C. Riverside",B. Sprotbrough and Cusworth,"hard,correct,random"
Sprotbrough and Cusworth,east,Dukinfield,Sprotbrough and Cusworth is east Dukinfield,Which city is located in east of Dukinfield?,"A. Fawdon
B. Central
C. Sprotbrough and Cusworth",C. Sprotbrough and Cusworth,"random,hard,correct"
Stocksbridge & Upper Don,east,Manor,Stocksbridge & Upper Don is east Manor,Which city is located in east of Manor?,"A. Normanton West Yorkshire
B. Stocksbridge & Upper Don
C. Wickersley",B. Stocksbridge & Upper Don,"hard,correct,random"
Hatfield,east,City and Hunslet,Hatfield is east City and Hunslet,Which city is located in east of City and Hunslet?,"A. Castleford Central and Glasshoughton
B. Hatfield
C. Whalley Range",B. Hatfield,"random,correct,hard"
Boston Castle,east,Anfield,Boston Castle is east Anfield,Which city is located in east of Anfield?,"A. Norris Green
B. Boston Castle
C. Lamesley",B. Boston Castle,"hard,correct,random"
Silverwood,east,Ashton Waterloo,Silverwood is east Ashton Waterloo,Which city is located in east of Ashton Waterloo?,"A. Ecclesall
B. Wheatley Hills & Intake
C. Silverwood",C. Silverwood,"random,hard,correct"
Worsbrough,east,Sale Moor,Worsbrough is east Sale Moor,Which city is located in east of Sale Moor?,"A. Manor
B. Worsbrough
C. Wigan West",B. Worsbrough,"random,correct,hard"
Springfield,east,Wollaston and Stourbridge Town,Springfield is east Wollaston and Stourbridge Town,Which city is located in east of Wollaston and Stourbridge Town?,"A. Springfield
B. Sudell
C. Bromborough",A. Springfield,"correct,random,hard"
Tong,east,Northwood,Tong is east Northwood,Which city is located in east of Northwood?,"A. Hopwood Hall
B. Illingworth and Mixenden
C. Tong",C. Tong,"random,hard,correct"
Northowram and Shelf,east,Woolton,Northowram and Shelf is east Woolton,Which city is located in east of Woolton?,"A. Headingley
B. Northowram and Shelf
C. Saddleworth West and Lees",B. Northowram and Shelf,"hard,correct,random"
Killingworth,east,Longbenton,Killingworth is east Longbenton,Which city is located in east of Longbenton?,"A. Handsworth Wood
B. Whiteleas
C. Killingworth",C. Killingworth,"random,hard,correct"
Manningham,east,Healey,Manningham is east Healey,Which city is located in east of Healey?,"A. Yew Tree
B. Manningham
C. Silhill",B. Manningham,"random,correct,hard"
Radford,east,Coseley East,Radford is east Coseley East,Which city is located in east of Coseley East?,"A. Metropolitan Borough of Doncaster
B. Barton
C. Radford",C. Radford,"hard,random,correct"
Horsforth,east,Milnrow and Newhey,Horsforth is east Milnrow and Newhey,Which city is located in east of Milnrow and Newhey?,"A. Thatto Heath
B. Kenton
C. Horsforth",C. Horsforth,"hard,random,correct"
Windhill and Wrose,east,Everton,Windhill and Wrose is east Everton,Which city is located in east of Everton?,"A. Earlestown
B. Wednesbury North
C. Windhill and Wrose",C. Windhill and Wrose,"hard,random,correct"
Airedale and Ferry Fryston,east,Alexandra,Airedale and Ferry Fryston is east Alexandra,Which city is located in east of Alexandra?,"A. Chelmsley Wood
B. Airedale and Ferry Fryston
C. Sitwell",B. Airedale and Ferry Fryston,"random,correct,hard"
Wakefield West,east,Pilkington Park,Wakefield West is east Pilkington Park,Which city is located in east of Pilkington Park?,"A. Toller
B. Hollinwood
C. Wakefield West",C. Wakefield West,"random,hard,correct"
Old Town,east,Shaw,Old Town is east Shaw,Which city is located in east of Shaw?,"A. Mosborough
B. Metropolitan Borough of St Helens
C. Old Town",C. Old Town,"random,hard,correct"
Stanley and Outwood East,east,East Middleton,Stanley and Outwood East is east East Middleton,Which city is located in east of East Middleton?,"A. Penistone
B. Stanley and Outwood East
C. Wednesbury South",B. Stanley and Outwood East,"hard,correct,random"
Tyldesley,east,Duke's,Tyldesley is east Duke's,Which city is located in east of Duke's?,"A. Tyldesley
B. Davyhulme East
C. Prescot",A. Tyldesley,"correct,hard,random"
Denton North East,east,Pensby and Thingwall,Denton North East is east Pensby and Thingwall,Which city is located in east of Pensby and Thingwall?,"A. Primrose
B. Denton North East
C. Newcastle upon Tyne",B. Denton North East,"hard,correct,random"
Belle Vale,east,Upton,Belle Vale is east Upton,Which city is located in east of Upton?,"A. Northowram and Shelf
B. Belle Vale
C. Trafford",B. Belle Vale,"hard,correct,random"
